,Method,RMSE Total,RMSE_Leslie,RMSE_Standard1,RMSE_Standard2,RSME_Gloria
0,Random Forest,274.72468509259414,224.71109109969717,66.3984038280459,42.67430871130546,418.5569446231302
1,Random Forest,37.87485509737228,51.92296815454037,6.591570066605656,14.513227368574112,49.528781446805546
2,Random Forest,30.76265201930026,52.744100662428224,7.3459186774516,12.330821469085722,55.42759543402873
3,XGBoost,270.5183532809627,222.48241710718122,59.6308083520814,45.77566657734392,413.4085125482811
4,XGBoost,36.3288436334574,60.935651772284444,9.586234026686208,13.143737544995888,55.03022123186163
5,XGBoost,34.67651350031689,64.60221702377125,11.575111251847616,14.509703370791396,69.56719742616933
6,LightGBM,270.5038780048723,219.17461495310616,56.82411715585795,38.861933442258135,419.24129512676564
7,LightGBM,37.47966972115021,67.69776757707687,9.119133190899392,17.253036251207874,42.303215209883255
8,LightGBM,31.466818552628993,57.790795240515,9.113156412525914,14.094735080424789,48.03705848931315
9,CatBoost,270.15983007962774,218.96734321948995,36.200491663196274,32.63766414734408,416.24123552079726
10,CatBoost,42.408617446463985,59.80970538310253,25.367074714635184,18.817004158689453,64.47454028535586
11,CatBoost,36.27614234200019,51.58402716887601,11.908701844801337,17.505295312745233,71.23896002732688
12,Extra Trees,273.1129023974261,222.51403008143654,64.94684071468674,43.344884944230195,415.0024537035749
13,Extra Trees,37.86651721291647,36.04614583312565,6.799319239870156,12.256462824138673,41.04651030571601
14,Extra Trees,25.254903934178856,34.041927558321355,8.06674312546657,10.759279651197025,46.15585138566889
15,Linear Regression,216.3817230809945,157.19844917494396,53.70704294598541,45.11365780830564,331.1638621239035
16,Linear Regression,68.51329706749839,100.98352181939342,41.83661414110822,34.427363738865466,135.77037898211267
17,Linear Regression,70.53362225781005,102.86339062913164,30.918678264040512,27.97086081883458,149.14468874671704
